A3: 9.83,-0.31,-0.06,647928
A0: -1.24,-3.37,8.03,649184
A1: 6.05,-2.51,7.17,650444
A2: -1.14,4.80,-8.09,651716
A3: 9.84,-0.20,-0.55,652992
A0: -3.48,-3.62,8.59,658108
A1: 6.99,-4.24,6.87,659392
A2: -1.05,3.94,-8.61,660672
A3: 9.87,-0.08,-1.41,661932
A0: -3.05,-3.04,8.69,663196
A1: 6.55,-4.03,7.68,664480
A2: -1.03,4.09,-8.52,665748
A3: 9.75,-0.49,-0.89,667012
A0: -1.95,-2.81,9.68,668276
A1: 5.76,-4.88,7.57,669552
A2: -0.57,3.84,-8.64,670832
A3: 9.87,-0.27,-0.31,672100
A0: -2.87,-3.00,9.11,673360
A1: 5.54,-4.09,7.65,674648
A2: -0.42,4.03,-8.47,675924
A3: 9.81,-0.24,-0.70,677180
A0: -1.85,-2.71,8.51,678440
A1: 5.33,-3.41,7.66,679716
A2: -1.25,4.57,-8.35,684816
A3: 9.64,-1.15,0.81,686080
A0: -2.54,-3.57,8.60,687328
A1: 5.53,-2.95,6.93,688616
A2: -0.86,4.35,-8.24,689900
A3: 9.70,-0.90,0.79,691168
A0: -2.41,-2.93,9.08,692420
A1: 6.08,-2.82,6.63,693700
A2: -1.04,4.13,-8.45,694980
A3: 9.58,-1.02,-0.50,696232
A0: -2.61,-2.85,9.49,697492
A1: 6.11,-2.94,6.43,698776
A2: -1.00,4.30,-8.48,700052
A3: 9.75,-0.68,-0.11,701328
A0: -2.08,-2.70,8.98,702580
A1: 5.50,-2.94,6.26,703864
A2: -0.79,4.25,-8.26,705148
A3: 9.79,-0.72,-0.10,706416
A0: -2.13,-2.83,8.83,707672
A1: 6.08,-3.14,6.67,712768
A2: -0.87,4.09,-8.16,714036
A3: 9.77,-0.57,-0.37,715304
A0: -2.25,-2.94,8.93,716572
A1: 5.47,-2.84,6.91,717848
A2: -1.18,4.53,-8.35,719124
A3: 9.78,-0.52,-0.38,720388
A0: -1.93,-2.92,9.00,721656
A1: 5.68,-3.20,6.71,722920
A2: -1.43,3.92,-8.73,724200
A3: 9.71,-0.48,-0.56,725468
A0: -2.21,-3.07,9.23,726732
A1: 5.93,-3.05,7.09,734336
A2: -1.07,4.34,-8.32,740784
A3: 9.74,-0.58,-0.35,747240
A0: -1.85,-2.98,9.19,753696
A1: 6.23,-4.05,6.44,755928
A2: -0.89,4.62,-8.03,757200
A3: 9.69,-0.74,-0.44,760172
A0: -1.59,-3.26,9.20,761432
A1: 6.56,-3.94,6.17,762700
A2: -0.81,4.22,-8.30,763972
A3: 9.79,-0.57,0.03,765228
A0: -1.74,-3.38,9.22,766488
A1: 6.40,-3.06,6.27,767760
A2: -1.26,4.47,-8.67,769032
A3: 9.75,-0.67,-0.13,770304
A0: -1.65,-2.58,9.10,771564
A1: 6.22,-3.21,6.54,772844
A2: -1.18,4.40,-8.27,774112
A3: 9.74,-0.68,-0.11,775376
A0: -1.25,-2.56,8.64,776636
A1: 6.53,-3.10,5.95,786040
A2: -0.99,3.84,-8.12,795148
A3: 9.63,-0.05,-0.78,804552
A0: -1.39,-2.75,8.78,813924
A1: 5.37,-3.51,7.81,815196
A2: -1.02,4.31,-8.69,820308
A3: 9.74,-2.31,-0.92,821572
A0: -1.14,-3.54,8.90,822840
A1: 5.46,-2.79,8.00,824120
A2: -1.05,4.30,-8.46,825400
A3: 9.78,-3.96,-0.24,826668
A0: -1.06,-2.69,9.61,827948
A1: 5.54,-2.39,8.23,829220
A2: -1.15,4.35,-7.94,830492
A3: 9.41,-3.14,-0.98,831760
A0: -0.82,-2.91,9.04,833028
A1: 5.76,-3.46,7.34,834300
A2: -1.04,4.26,-8.44,835576
A3: 10.86,-2.63,0.38,836836
A0: -1.52,-2.92,8.94,838108
A1: 6.40,-4.41,5.60,839384
A2: -1.03,4.23,-8.40,840660
A3: 9.86,-2.17,1.49,841912
A0: -1.62,-2.51,9.21,846892
A1: 7.44,-3.29,5.53,848148
A2: -1.23,4.31,-8.33,849424
A3: 9.76,-0.99,-0.19,850688
A0: -1.78,-2.80,8.86,851948
A1: 6.86,-2.74,5.88,853228
A2: -1.02,4.37,-8.41,854512
A3: 9.69,-1.06,-0.33,855780
A0: -1.97,-2.90,9.30,857040
A1: 6.25,-3.18,6.32,858312
A2: -1.00,4.26,-8.57,859584
A3: 9.64,-1.09,-0.07,860864
A0: -1.91,-2.97,9.00,862116
A1: 5.93,-3.51,6.74,863380
A2: -1.11,4.26,-8.50,864656
A3: 9.41,-1.09,0.64,865912
A0: -2.18,-2.88,8.94,867168
A1: 5.90,-3.46,6.93,868448
A2: -1.11,4.20,-8.47,869732
A3: 10.08,0.15,-0.76,874676
A0: -2.12,-2.86,8.84,875932
A1: 6.18,-3.16,6.70,877216
A2: -1.02,4.18,-8.41,878492
A3: 10.05,-0.29,-0.48,879748
A0: -2.00,-2.56,9.18,881024
